age,monthly_income,debt_ratio,credit_utilization,transaction_count_30d,avg_transaction_amount,employment_type,education_level,region,device_type,last_payment_delay_days,internal_score_v2,target
43.6,67139.59,0.341,0.508,44,56.04,contract,master,rural,desktop,0.3,546.3,0
42.3,69322.76,0.318,0.427,43,71.57,contract,master,urban,desktop,2.16,583.2,0
29.4,31240.7,0.38,0.519,43,88.01,full_time,high_school,suburban,tablet,1.14,544.0,0
52.5,23838.7,0.372,0.481,50,69.37,full_time,bachelor,urban,tablet,4.56,569.4,0
44.0,36584.21,0.129,0.213,44,93.56,contract,bachelor,urban,mobile,1.78,669.9,0
36.9,55410.12,0.122,0.133,58,118.4,full_time,bachelor,rural,mobile,6.39,680.8,0
48.6,67795.15,0.408,0.35,41,161.82,full_time,high_school,rural,mobile,1.96,544.7,0
55.0,25393.66,0.23,0.269,35,105.68,self_employed,high_school,urban,mobile,6.79,624.0,0
55.1,26699.26,0.071,0.284,41,67.71,self_employed,high_school,rural,mobile,4.72,670.9,0
65.4,37157.56,0.16,0.296,41,151.94,full_time,bachelor,urban,mobile,0.74,674.2,0
36.3,30297.62,0.166,0.512,42,59.75,full_time,bachelor,urban,desktop,1.0,645.1,0
50.8,52552.49,0.098,0.613,36,36.04,full_time,high_school,suburban,mobile,1.65,604.5,0
70.4,21884.43,0.275,0.374,41,159.43,full_time,bachelor,urban,desktop,0.91,626.1,0
44.9,40983.11,0.548,0.248,36,131.87,full_time,bachelor,suburban,mobile,2.64,606.0,0
30.9,34977.68,0.467,0.229,48,90.11,contract,bachelor,suburban,mobile,0.55,606.4,0
58.6,30315.02,0.465,0.286,33,55.07,full_time,master,urban,mobile,3.99,535.7,0
36.3,20968.54,0.387,0.629,45,112.35,contract,bachelor,urban,mobile,1.5,580.6,0
50.3,28843.8,0.256,0.381,53,35.62,full_time,bachelor,urban,mobile,7.47,594.5,0
56.4,43545.61,0.271,0.767,50,75.96,full_time,master,suburban,desktop,6.11,546.5,0
39.0,13317.77,0.822,0.522,76,191.83,full_time,master,suburban,tablet,3.94,471.8,1
46.2,25741.91,0.004,0.458,30,33.33,contract,high_school,urban,mobile,0.23,669.0,0
44.0,53131.94,0.293,0.249,44,78.89,full_time,master,urban,desktop,0.21,631.0,0
41.2,64321.71,0.17,0.442,30,76.55,full_time,bachelor,suburban,desktop,2.06,600.1,0
37.9,13063.02,0.48,0.328,36,50.34,contract,master,urban,mobile,1.5,584.4,0
29.5,55655.17,0.417,0.665,38,62.35,contract,bachelor,suburban,desktop,4.38,537.2,0
32.5,31436.02,0.27,0.644,36,91.72,self_employed,high_school,urban,mobile,2.51,558.0,0
51.6,30417.33,0.546,0.241,43,98.83,full_time,high_school,rural,mobile,0.36,532.2,0
59.2,27020.4,0.558,0.557,86,171.86,self_employed,master,suburban,mobile,8.0,516.5,1
54.8,84863.03,0.275,0.535,38,103.47,self_employed,bachelor,rural,mobile,4.5,590.0,0
52.8,36603.27,0.172,0.536,43,99.24,full_time,high_school,rural,desktop,4.61,570.4,0
33.7,74687.09,0.605,0.406,59,107.87,full_time,phd,suburban,mobile,5.22,525.6,0
18.0,23986.6,0.16,0.419,41,119.69,unemployed,bachelor,urban,tablet,3.28,633.1,0
65.2,54101.6,0.349,0.454,39,86.09,full_time,high_school,urban,mobile,2.34,566.8,0
58.0,18813.55,0.455,0.528,49,94.13,full_time,high_school,rural,mobile,0.1,503.6,0
49.2,17219.61,0.1,0.265,40,63.7,contract,bachelor,urban,desktop,6.72,678.4,0
42.0,15993.69,0.48,0.19,49,101.7,full_time,bachelor,urban,desktop,1.67,603.9,0
